rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
133,Moritz Jenz,de GER,DF,Wolfsburg,26-131,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
134,Ísak Jóhannesson,is ISL,MF,Köln,22-169,2003,1.9,0,1,0,0.0,0.53,0.00,0.00,,17.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
135,Lazar Jovanović,rs SRB,"FW,MF",Stuttgart,18-282,2006,0.4,0,1,0,0.0,2.50,0.00,0.00,,10.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
136,Anthony Jung,de GER,DF,Freiburg,33-309,1991,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
137,Josip Juranović,hr CRO,DF,Union Berlin,30-023,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
138,Martijn Kaars,nl NED,"MF,FW",St. Pauli,26-187,1999,0.2,0,2,1,50.0,8.18,4.09,0.00,0.00,16.4,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
139,Anton Kade,de GER,DF,Augsburg,21-234,2004,0.3,0,1,0,0.0,3.33,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
140,Florian Kainz,at AUT,MF,Köln,32-319,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
141,Jakub Kamiński,pl POL,"MF,FW",Köln,23-095,2002,2.0,1,7,3,42.9,3.50,1.50,0.14,0.33,18.3,1,0,0,1.0,1.0,0.15,0.0,0.0,Matches
142,Harry Kane,eng ENG,FW,Bayern Munich,32-042,1993,1.9,3,5,3,60.0,2.57,1.54,0.60,1.00,12.4,0,0,0,0.7,0.7,0.15,+2.3,+2.3,Matches
143,Atakan Karazor,,MF,Stuttgart,28-330,1996,1.6,0,2,1,50.0,1.25,0.62,0.00,0.00,12.0,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
144,Lennart Karl,de GER,FW,Bayern Munich,17-198,2008,0.2,0,3,2,66.7,12.27,8.18,0.00,0.00,20.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
145,Mikkel Kaufmann,dk DEN,FW,Heidenheim,24-248,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
