rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ,tkld,tkld,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
125,Arijon Ibrahimović,de GER,"FW,MF",Heidenheim,19-271,2005,1.4,56,3,18,22,18,4,56,4,1,25.0,3,75.0,29,214,80,2,2,1,0,2,30,3,Matches
126,Andrej Ilic,rs SRB,FW,Union Berlin,25-158,2000,2.0,59,3,7,27,25,9,59,1,1,100.0,0,0.0,26,91,44,1,0,1,6,2,44,7,Matches
127,Cyriaque Irié,bf BFA,FW,Freiburg,20-080,2005,0.3,21,0,5,6,10,1,21,3,1,33.3,2,66.7,10,79,17,0,0,0,1,2,14,6,Matches
128,Lee Jae-sung,kr KOR,"FW,MF",Mainz 05,33-029,1992,2.0,78,4,10,22,47,13,78,1,0,0.0,1,100.0,28,146,57,0,2,0,2,3,60,13,Matches
129,Kristijan Jakić,hr CRO,"MF,FW",Augsburg,28-117,1997,2.0,103,13,33,55,17,4,103,1,1,100.0,0,0.0,65,281,79,3,2,0,3,2,60,5,Matches
130,Luca Jaquez,ch SUI,DF,Stuttgart,22-098,2003,1.0,108,8,33,75,1,0,108,0,0,,0,,84,433,222,2,1,0,0,0,85,0,Matches
131,Finn Jeltsch,de GER,DF,Stuttgart,19-053,2006,1.0,63,8,26,36,1,0,63,0,0,,0,,51,235,99,0,0,0,0,0,46,0,Matches
132,Castrop Jens,kr KOR,MF,Gladbach,22-041,2003,0.3,24,2,3,12,9,3,24,1,0,0.0,1,100.0,16,78,30,1,1,0,3,2,19,3,Matches
133,Moritz Jenz,de GER,DF,Wolfsburg,26-131,1999,2.0,92,14,50,41,1,0,92,0,0,,0,,53,197,87,0,1,0,0,0,56,0,Matches
134,Ísak Jóhannesson,is ISL,MF,Köln,22-169,2003,1.9,84,4,12,54,18,2,84,0,0,,0,,54,226,119,1,3,0,0,1,59,2,Matches
135,Lazar Jovanović,rs SRB,"FW,MF",Stuttgart,18-282,2006,0.4,13,0,2,3,8,3,13,1,1,100.0,0,0.0,11,126,45,2,1,3,1,2,13,2,Matches
136,Anthony Jung,de GER,DF,Freiburg,33-309,1991,0.2,36,1,7,26,3,0,36,0,0,,0,,28,143,93,0,0,0,0,0,31,0,Matches
137,Josip Juranović,hr CRO,DF,Union Berlin,30-023,1995,0.1,4,0,0,2,2,0,4,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches
138,Martijn Kaars,nl NED,"MF,FW",St. Pauli,26-187,1999,0.2,14,0,1,4,11,2,14,1,1,100.0,0,0.0,9,99,71,4,1,1,0,0,10,6,Matches
139,Anton Kade,de GER,DF,Augsburg,21-234,2004,0.3,14,0,2,6,6,0,14,2,1,50.0,1,50.0,8,56,24,1,1,0,2,0,10,3,Matches
140,Florian Kainz,at AUT,MF,Köln,32-319,1992,0.1,11,2,5,5,1,0,11,0,0,,0,,6,35,30,1,0,0,0,0,6,2,Matches
141,Jakub Kamiński,pl POL,"MF,FW",Köln,23-095,2002,2.0,88,6,16,22,50,13,88,2,2,100.0,0,0.0,44,235,114,4,1,3,2,1,56,14,Matches
142,Harry Kane,eng ENG,FW,Bayern Munich,32-042,1993,1.9,76,4,10,29,37,9,76,9,5,55.6,2,22.2,60,274,111,2,1,2,3,2,62,9,Matches
143,Atakan Karazor,,MF,Stuttgart,28-330,1996,1.6,111,7,24,70,17,3,111,0,0,,0,,74,279,126,1,1,0,1,1,78,4,Matches
144,Lennart Karl,de GER,FW,Bayern Munich,17-198,2008,0.2,23,0,2,9,12,1,23,1,0,0.0,0,0.0,18,88,52,2,1,1,0,0,20,4,Matches
145,Mikkel Kaufmann,dk DEN,FW,Heidenheim,24-248,2001,0.8,19,1,4,9,7,0,19,0,0,,0,,8,28,3,0,0,0,2,0,11,0,Matches
146,Aljoscha Kemlein,de GER,MF,Union Berlin,21-037,2004,0.1,6,0,0,5,2,0,6,0,0,,0,,3,37,31,1,0,0,0,1,4,1,Matches
147,Luca Kerber,de GER,MF,Heidenheim,23-182,2002,1.1,23,0,4,13,6,3,23,0,0,,0,,13,30,13,1,0,1,0,2,14,7,Matches
148,Rani Khedira,de GER,MF,Union Berlin,31-224,1994,2.0,77,8,25,41,11,0,77,0,0,,0,,36,191,99,2,2,0,2,0,31,1,Matches
149,Joshua Kimmich,de GER,MF,Bayern Munich,30-212,1995,2.0,188,3,38,114,37,0,188,3,2,66.7,0,0.0,137,677,351,3,1,0,1,2,146,1,Matches
150,Ansgar Knauff,de GER,"MF,FW",Eint Frankfurt,23-241,2002,0.6,23,1,3,8,13,5,23,1,1,100.0,0,0.0,14,152,98,3,2,3,2,2,15,5,Matches
151,Gregor Kobel,ch SUI,GK,Dortmund,27-276,1997,2.0,76,56,76,0,0,0,76,0,0,,0,,45,197,127,0,0,0,0,0,41,0,Matches
