rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl,att,tkl,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
162,Rasmus Kristensen,dk DEN,DF,Eint Frankfurt,28-059,1997,1.9,7,6,4,3,0,5,6,83.3,1,4,0,4,4,11,4,0,Matches
163,Lukas Kübler,de GER,DF,Freiburg,33-009,1992,1.9,7,4,4,3,0,2,3,66.7,1,1,1,0,6,13,8,0,Matches
164,Jonah Kusi-Asare,se SWE,FW,Bayern Munich,18-066,2007,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
165,Konrad Laimer,at AUT,DF,Bayern Munich,28-104,1997,1.5,2,0,0,1,1,2,6,33.3,4,1,0,1,1,3,6,0,Matches
166,Hugo Larsson,se SWE,MF,Eint Frankfurt,21-073,2004,1.9,2,2,1,1,0,0,1,0.0,1,3,1,2,4,6,0,0,Matches
167,Tim Lemperle,de GER,FW,Hoffenheim,23-215,2002,1.8,2,2,0,2,0,1,5,20.0,4,4,0,4,1,3,6,0,Matches
168,Jamie Leweling,de GER,"FW,DF",Stuttgart,24-194,2001,2.0,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0,Matches
169,Philipp Lienhart,at AUT,DF,Freiburg,29-059,1996,2.0,3,2,2,1,0,2,2,100.0,0,4,4,0,0,3,10,0,Matches
170,Castello Lukeba,fr FRA,DF,RB Leipzig,22-265,2002,2.0,1,1,1,0,0,1,2,50.0,1,4,2,2,3,4,9,2,Matches
171,Kristoffer Lund,us USA,DF,Köln,23-117,2002,1.5,2,2,1,1,0,1,2,50.0,1,3,2,1,1,3,12,0,Matches
172,Senne Lynen,be BEL,MF,Werder Bremen,26-201,1999,2.0,3,3,2,1,0,3,6,50.0,3,1,1,0,4,7,4,0,Matches
173,Koki Machida,jp JPN,DF,Hoffenheim,28-014,1997,0.5,1,0,1,0,0,0,1,0.0,1,1,1,0,1,2,2,0,Matches
174,Shuto Machino,jp JPN,FW,Gladbach,25-343,1999,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
175,Arne Maier,de GER,DF,Augsburg,26-243,1999,0.0,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0,Matches
176,Patrick Mainka,de GER,DF,Heidenheim,30-306,1994,2.0,2,0,2,0,0,0,0,,0,4,2,2,0,2,10,0,Matches
177,Lovro Majer,hr CRO,MF,Wolfsburg,27-234,1998,1.5,2,1,2,0,0,1,2,50.0,1,1,0,1,1,3,3,0,Matches
178,Jordy Makengo,fr FRA,DF,Freiburg,24-036,2001,0.1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
