player,club,position,minutes,nineties,key_passes_per90,prog_passes_per90,shots_per90,xg_per90,interceptions_per90,tackles_won_per90,prog_carries_per90
Julian Niehues,Heidenheim,MF,33,0.4,2.5,5.0,0.0,0.0,0.0,0.0,0.0
Justin Njinmah,Werder Bremen,FW,154,1.7,0.0,1.1764705882352942,2.9411764705882355,0.17647058823529413,0.0,0.5882352941176471,1.1764705882352942
Felix Nmecha,Dortmund,MF,65,0.7,1.4285714285714286,2.857142857142857,1.4285714285714286,0.0,1.4285714285714286,0.0,0.0
Arnaud Nordin,Mainz 05,FW,81,0.9,0.0,2.2222222222222223,2.2222222222222223,0.11111111111111112,0.0,1.1111111111111112,4.444444444444445
Alexander Nübel,Stuttgart,GK,180,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Nusa,RB Leipzig,FW,135,1.5,0.0,2.6666666666666665,2.6666666666666665,0.19999999999999998,2.0,1.3333333333333333,6.666666666666667
Michael Olise,Bayern Munich,"FW,MF",180,2.0,1.5,5.0,5.5,0.9,0.5,2.0,5.0
Warmed Omari,Hamburger SV,DF,180,2.0,0.0,3.5,0.0,0.0,1.0,0.5,1.0
Loïs Openda,RB Leipzig,FW,51,0.6,1.6666666666666667,3.3333333333333335,5.0,0.16666666666666669,0.0,0.0,0.0
Louis Oppie,St. Pauli,DF,180,2.0,0.5,2.5,2.0,0.05,0.0,2.0,1.5
Willi Orban,RB Leipzig,DF,180,2.0,0.5,2.0,0.0,0.0,0.5,1.0,0.5
Assan Ouedraogo,RB Leipzig,MF,9,0.1,0.0,20.0,10.0,0.0,0.0,0.0,0.0
Salih Özcan,Dortmund,DF,4,0.0,,,,,,,
Cenk Özkacar,Köln,MF,24,0.3,0.0,20.0,3.3333333333333335,1.0,0.0,6.666666666666667,0.0
Exequiel Palacios,Leverkusen,MF,30,0.3,0.0,13.333333333333334,0.0,0.0,0.0,0.0,3.3333333333333335
